movieId,title,genres,title_original,genres_original,title_display,title_clean,title_for_matching,genres_for_matching,genre_action,genre_adventure,genre_animation,genre_children,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_fantasy,genre_filmnoir,genre_horror,genre_imax,genre_musical,genre_mystery,genre_romance,genre_scifi,genre_thriller,genre_war,genre_western
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Toy Story (1995),Toy Story (1995),toy story,adventure animation children comedy fantasy,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,Jumanji (1995),Adventure|Children|Fantasy,Jumanji (1995),Adventure|Children|Fantasy,Jumanji (1995),Jumanji (1995),jumanji,adventure children fantasy,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,Grumpier Old Men (1995),Comedy|Romance,Grumpier Old Men (1995),Comedy|Romance,Grumpier Old Men (1995),Grumpier Old Men (1995),grumpier old men,comedy romance,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Waiting to Exhale (1995),Comedy|Drama|Romance,Waiting to Exhale (1995),Waiting to Exhale (1995),waiting to exhale,comedy drama romance,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5,Father of the Bride Part II (1995),Comedy,Father of the Bride Part II (1995),Comedy,Father of the Bride Part II (1995),Father of the Bride Part II (1995),father of the bride part ii,comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Heat (1995),Action|Crime|Thriller,Heat (1995),Action|Crime|Thriller,Heat (1995),Heat (1995),heat,action crime thriller,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7,Sabrina (1995),Comedy|Romance,Sabrina (1995),Comedy|Romance,Sabrina (1995),Sabrina (1995),sabrina,comedy romance,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Tom and Huck (1995),Adventure|Children,Tom and Huck (1995),Adventure|Children,Tom and Huck (1995),Tom and Huck (1995),tom and huck,adventure children,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Sudden Death (1995),Action,Sudden Death (1995),Action,Sudden Death (1995),Sudden Death (1995),sudden death,action,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,GoldenEye (1995),Action|Adventure|Thriller,GoldenEye (1995),Action|Adventure|Thriller,GoldenEye (1995),GoldenEye (1995),goldeneye,action adventure thriller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,American President The (1995),Comedy|Drama|Romance,"American President, The (1995)",Comedy|Drama|Romance,American President The (1995),American President The (1995),american president the,comedy drama romance,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12,Dracula Dead and Loving It (1995),Comedy|Horror,Dracula: Dead and Loving It (1995),Comedy|Horror,Dracula Dead and Loving It (1995),Dracula Dead and Loving It (1995),dracula dead and loving it,comedy horror,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Balto (1995),Adventure|Animation|Children,Balto (1995),Adventure|Animation|Children,Balto (1995),Balto (1995),balto,adventure animation children,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Nixon (1995),Drama,Nixon (1995),Drama,Nixon (1995),Nixon (1995),nixon,drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,Cutthroat Island (1995),Action|Adventure|Romance,Cutthroat Island (1995),Action|Adventure|Romance,Cutthroat Island (1995),Cutthroat Island (1995),cutthroat island,action adventure romance,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,Casino (1995),Crime|Drama,Casino (1995),Crime|Drama,Casino (1995),Casino (1995),casino,crime drama,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17,Sense and Sensibility (1995),Drama|Romance,Sense and Sensibility (1995),Drama|Romance,Sense and Sensibility (1995),Sense and Sensibility (1995),sense and sensibility,drama romance,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18,Four Rooms (1995),Comedy,Four Rooms (1995),Comedy,Four Rooms (1995),Four Rooms (1995),four rooms,comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
